Wall time,Step,Value
1598565587.0746799,80613,0.96875
1598565716.6856158,80996,1.0
1598565735.9669921,81015,1.0
1598566589.331504,83267,1.0
1598567026.2639728,84409,1.0
1598567096.2668865,84601,1.0
1598567272.8508105,85089,0.96875
1598567632.087782,86014,1.0
1598567912.529898,86780,1.0
1598567944.7444022,86865,1.0
1598568013.207786,87008,0.96875
1598568140.7065966,87393,1.0
1598568433.5644205,88137,1.0
1598568643.4518957,88674,1.0
1598568898.5458002,89347,1.0
1598568902.776816,89363,1.0
1598569147.1132767,89973,1.0
1598569248.116267,90237,0.96875
1598569654.4109828,91300,1.0
1598569783.84361,91624,1.0
1598569791.0149457,91647,1.0
1598569974.9029605,92120,1.0
1598570402.1594634,93223,1.0
1598570489.2268498,93471,1.0
1598570664.8685918,93901,1.0
1598570993.4630105,94784,1.0
1598571107.3202555,95057,1.0
1598571230.3521097,95377,1.0
1598571267.1476645,95480,0.96875
1598571592.265072,96301,1.0
1598572237.5077617,97986,1.0
1598572425.1347344,98474,1.0
1598572656.275263,99055,1.0
1598572971.146046,99884,1.0
1598573345.507911,100858,1.0
1598573424.6093931,101072,1.0
1598573528.0862498,101335,1.0
1598573757.908508,101923,1.0
1598573763.5945146,101943,1.0
1598574122.516592,102880,1.0
1598574138.6588972,102911,1.0
1598574149.5845234,102966,1.0
1598574169.7189178,103001,1.0
1598574171.807734,103011,1.0
1598574530.683381,103947,1.0
1598574652.3077478,104276,1.0
1598574676.187993,104334,1.0
1598574892.5874639,104896,1.0
1598574912.476908,104924,1.0
1598574967.0126286,105093,1.0
1598575107.6108785,105434,1.0
1598575235.3221319,105774,1.0
1598575424.5964441,106267,1.0
1598575535.559562,106566,1.0
1598576036.1869404,107837,1.0
1598576312.9517202,108586,1.0
1598576948.7607346,110224,1.0
1598577019.608807,110418,1.0
1598577102.4932122,110641,1.0
1598577362.9661865,111323,1.0
1598577501.9032805,111698,1.0
1598577970.9641771,112902,1.0
1598578126.242514,113322,1.0
1598578284.821979,113741,1.0
1598578366.7909694,113980,1.0
1598578483.2690246,114292,1.0
1598578785.8085303,115096,1.0
1598578950.594291,115506,1.0
1598578953.0553572,115518,1.0
1598579085.401733,115878,1.0
1598579390.0268142,116673,1.0
1598579408.6434786,116711,1.0
1598579424.4432745,116783,1.0
1598579531.603308,117047,0.96875
1598579753.4257169,117635,1.0
1598579830.4814403,117825,1.0
1598579876.1745708,117941,1.0
1598579962.9994571,118190,1.0
1598581106.9251764,121192,0.96875
1598581107.1133003,121193,1.0
1598581170.142934,121332,1.0
1598581199.7283916,121403,0.96875
1598581362.355485,121835,1.0
1598581511.8750262,122205,1.0
1598581668.4075496,122622,1.0
1598581671.5674276,122634,1.0
1598581832.8629174,123068,1.0
1598582057.2589328,123666,1.0
1598582252.7102585,124197,1.0
1598582662.050979,125290,1.0
1598583534.4962711,127542,1.0
1598583569.3588767,127637,1.0
1598584141.6633897,129146,1.0
1598584211.547596,129318,1.0
1598584243.7948895,129406,1.0
1598584280.3143477,129502,1.0
1598584493.215753,130071,0.96875
1598585107.4120066,131680,1.0
1598585181.966036,131876,1.0
1598585943.9039183,133860,1.0
1598586142.0171797,134376,1.0
1598586144.7264156,134389,1.0
1598586180.6954393,134474,0.96875
1598586335.53859,134877,1.0
1598586625.7514703,135615,1.0
1598586855.985573,136209,1.0
1598587022.4634905,136673,1.0
1598587024.692241,136678,1.0
1598587170.387389,137055,1.0
1598587365.453727,137565,1.0
1598587892.3655353,138939,1.0
1598588013.5731702,139258,1.0
1598588074.9669464,139403,1.0
1598588087.1076102,139449,1.0
1598588284.6460946,139975,1.0
1598588306.9998214,140015,1.0
1598588316.6554751,140045,1.0
1598588319.9490967,140055,1.0
1598588351.8115525,140131,1.0
1598588582.6398444,140750,1.0
1598588676.4780505,140989,1.0
1598588771.635125,141222,1.0
1598589018.8147929,141889,1.0
1598589140.4120314,142196,1.0
1598589140.5956194,142197,1.0
1598589356.331638,142751,1.0
1598589411.1324394,142892,1.0
1598589522.184586,143186,1.0
1598589813.4668198,143918,1.0
1598589931.8828394,144226,1.0
1598589948.015335,144285,1.0
1598589993.4225159,144404,1.0
1598590677.772728,146312,1.0
1598590770.8691185,146696,1.0
1598590973.5915418,147491,1.0
1598591148.2404938,148189,0.96875
1598591258.4642842,148604,1.0
1598591271.2674773,148673,0.96875
1598591272.0070329,148677,1.0
